         3067969 function calls (3067919 primitive calls) in 139.101 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.002    0.000    0.816    0.045 _parallel_backends.py:296(configure)
       18    0.001    0.000    1.313    0.073 _parallel_backends.py:321(terminate)
     1433    0.001    0.000    0.001    0.000 _parallel_backends.py:345(__init__)
     2498    0.001    0.000    0.001    0.000 _parallel_backends.py:60(compute_batch_size)
       26    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       26    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       26    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       18    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
    13893    0.014    0.000    0.019    0.000 _weakrefset.py:38(_remove)
       26    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       49    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
     5098    0.009    0.000    0.009    0.000 _weakrefset.py:70(__contains__)
    13919    0.030    0.000    0.039    0.000 _weakrefset.py:81(add)
     2542    0.013    0.000    0.024    0.000 abc.py:180(__instancecheck__)
     26/6    0.000    0.000    0.001    0.000 abc.py:196(__subclasscheck__)
        1    0.000    0.000    0.001    0.001 arraysetops.py:113(unique)
        1    0.000    0.000    0.000    0.000 arraysetops.py:227(<listcomp>)
        1    0.000    0.000    0.000    0.000 arraysetops.py:236(reshape_uniq)
        1    0.000    0.000    0.001    0.001 arraysetops.py:250(_unique1d)
     1244    0.012    0.000    0.013    0.000 base.py:108(_init_params)
     5105    0.004    0.000    0.007    0.000 base.py:1202(isspmatrix)
     1244    0.227    0.000    0.375    0.000 base.py:160(_fit)
     1245    0.046    0.000  131.604    0.106 base.py:273(kneighbors)
     2498    0.014    0.000    0.070    0.000 base.py:383(<genexpr>)
     1244    0.003    0.000    0.378    0.000 base.py:794(fit)
        2    0.000    0.000    0.001    0.001 connection.py:10(<module>)
        1    0.000    0.000    0.000    0.000 connection.py:114(_ConnectionBase)
       72    0.000    0.000    0.000    0.000 connection.py:117(__init__)
       16    0.000    0.000    0.000    0.000 connection.py:130(__del__)
       18    0.000    0.000    0.000    0.000 connection.py:134(_check_closed)
       18    0.000    0.000    0.000    0.000 connection.py:142(_check_writable)
        1    0.000    0.000    0.000    0.000 connection.py:18(Listener)
       18    0.000    0.000    0.001    0.000 connection.py:181(send_bytes)
        1    0.000    0.000    0.000    0.000 connection.py:348(Connection)
       16    0.000    0.000    0.000    0.000 connection.py:360(_close)
       18    0.000    0.000    0.000    0.000 connection.py:365(_send)
       18    0.000    0.000    0.001    0.000 connection.py:390(_send_bytes)
        1    0.000    0.000    0.000    0.000 connection.py:422(Listener)
        1    0.000    0.000    0.000    0.000 connection.py:49(Connection)
       36    0.000    0.000    0.001    0.000 connection.py:501(Pipe)
        1    0.000    0.000    0.000    0.000 connection.py:564(SocketListener)
        1    0.000    0.000    0.000    0.000 connection.py:745(ConnectionWrapper)
        1    0.000    0.000    0.000    0.000 connection.py:767(XmlListener)
       72    0.000    0.000    0.000    0.000 context.py:186(get_context)
       72    0.000    0.000    0.000    0.000 context.py:196(get_start_method)
     1245    0.002    0.000    0.002    0.000 context.py:232(get_context)
      144    0.014    0.000    0.200    0.001 context.py:274(_Popen)
     1263    0.003    0.000    0.022    0.000 context.py:40(cpu_count)
       36    0.000    0.000    0.004    0.000 context.py:59(Pipe)
       72    0.001    0.000    0.007    0.000 context.py:64(Lock)
        1    0.000    0.000    0.000    0.000 data.py:276(__init__)
        1    0.000    0.000    0.000    0.000 data.py:280(_reset)
        1    0.000    0.000    0.000    0.000 data.py:296(fit)
        1    0.000    0.000    0.000    0.000 data.py:310(partial_fit)
        1    0.000    0.000    0.000    0.000 data.py:357(transform)
        1    0.000    0.000    0.000    0.000 data.py:61(_handle_zeros_in_scale)
     1263    0.015    0.000    0.015    0.000 disk.py:34(memstr_to_bytes)
       18    0.000    0.000    0.000    0.000 einsumfunc.py:1067(<dictcomp>)
       18    0.000    0.000    0.000    0.000 einsumfunc.py:1072(<listcomp>)
      108    0.000    0.000    0.000    0.000 einsumfunc.py:16(_compute_size_by_dict)
       18    0.000    0.000    0.000    0.000 einsumfunc.py:265(_can_dot)
       18    0.000    0.000    0.001    0.000 einsumfunc.py:373(_parse_einsum_input)
       18    0.000    0.000    0.000    0.000 einsumfunc.py:404(<listcomp>)
       18    0.000    0.000    0.000    0.000 einsumfunc.py:45(_find_contraction)
       18    0.001    0.000    0.002    0.000 einsumfunc.py:541(einsum_path)
       18    0.000    0.000    0.000    0.000 einsumfunc.py:652(<listcomp>)
       18    0.000    0.000    0.000    0.000 einsumfunc.py:693(<listcomp>)
       18    0.001    0.000    0.003    0.000 einsumfunc.py:819(einsum)
       18    0.000    0.000    0.004    0.000 extmath.py:55(row_norms)
       18    0.001    0.000    0.005    0.000 fromnumeric.py:1007(argmin)
        4    0.000    0.000    0.000    0.000 fromnumeric.py:163(reshape)
      534    0.002    0.000    0.008    0.000 fromnumeric.py:1778(sum)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:2021(all)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2222(amax)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:2323(amin)
      509    0.003    0.000    0.020    0.000 fromnumeric.py:2854(mean)
       18    0.000    0.000    0.005    0.000 fromnumeric.py:2960(std)
       18    0.000    0.000    0.002    0.000 fromnumeric.py:3078(var)
       18    0.001    0.000    0.004    0.000 fromnumeric.py:37(_wrapit)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:483(swapaxes)
       24    0.000    0.000    0.004    0.000 fromnumeric.py:50(_wrapfunc)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:734(sort)
       18    0.003    0.000    0.004    0.000 function_base.py:4703(delete)
     1433    0.014    0.000    0.037    0.000 functools.py:44(update_wrapper)
     1433    0.004    0.000    0.004    0.000 functools.py:74(wraps)
       36    0.001    0.000    0.004    0.000 genericpath.py:16(exists)
       18    0.000    0.000    0.000    0.000 getlimits.py:507(__init__)
       18    0.000    0.000    0.000    0.000 getlimits.py:532(max)
       18    0.000    0.000    0.003    0.000 k_means_.py:158(_tolerance)
       18    0.006    0.000    2.770    0.154 k_means_.py:167(k_means)
      198    0.003    0.000    0.011    0.000 k_means_.py:357(<genexpr>)
       18    0.000    0.000    0.000    0.000 k_means_.py:839(__init__)
       18    0.000    0.000    0.002    0.000 k_means_.py:856(_check_fit_data)
       18    0.004    0.000    2.777    0.154 k_means_.py:875(fit)
   154284    0.080    0.000    0.121    0.000 linalg.py:110(isComplexType)
   154284    1.291    0.000    2.345    0.000 linalg.py:2103(norm)
        1    0.000    0.000    0.000    0.000 lof.py:126(__init__)
        1    0.000    0.000    0.109    0.109 lof.py:156(fit)
